_id,Tech ID,First Name,Last Name,Department,Username,Password,Hashed Password
64a588e82367c5737db0aac6,609544,Charles,Roberts,Engineering and Technology,tford,BgNGe@un*6,$2b$12$xRsRssSVA51YIlBfULWyYuou.L.75dcHeOLj0AkNI8iwFhk7.uBBS
64a588e82367c5737db0aac7,365779,Brandon,Glover,Engineering and Technology,kwallace,u2JF9ZJb!M,$2b$12$iUC51xsx3I3JENbvqqqy3.s/1x4MbPF.tReDXYYIUNY36WQVzZYAq
64a588e82367c5737db0aac8,667843,Rachel,Coleman,Automation,gomezchristopher,l83Q7kJPZ_,$2b$12$tCThlNK0pCdzICp919TOw.T6oE6LrwdRERljzQqxxk2VsHhxJKTaK
64a588e92367c5737db0aac9,433932,Pamela,Bryan,Automation,cynthia40,O9EAlaaC$a,$2b$12$oiccD.lejm3F2L/4Vahwv.r/x9sH7JzonfUNRUZ6PimQM1rRxJ3/2
64a588e92367c5737db0aaca,830003,Michael,Powell,Automation,ffrank,+6EdSmUEj1,$2b$12$aLAXbfJxqJ8B85nPgPCVSerHYC7aneOUsAzgIHpbaeZJWtCY7l88m
64a588e92367c5737db0aacb,680545,Andrew,Rivera,Engineering and Technology,rsmith,JoJ*10Gexu,$2b$12$47V/Ij3NiPZYBJzyK957SeZRZJeDlO.ooRvEE7ckNT/1LtK3fIr3.
64a588e92367c5737db0aacc,124904,Alfred,Davis,Automation,rebeccarichardson,lZ&D@Mfy(3,$2b$12$a7pUABFPSsDcjxPkfx/X4OGQsnDfAHLFVHLhgR61V6Mbee3hcmrW2
64a588e92367c5737db0aacd,647643,Donald,Jones,Engineering and Technology,ellenpayne,ub%t8I@j^@,$2b$12$IuI3zhLIQHayDMsMPWMUTuCGw7m4N9hsDqIQMUg1lu1GLrBZmCyg.
64a588ea2367c5737db0aace,755735,Ashley,Smith,Warehouse,bbates,sh@0@4Vgyd,$2b$12$DSMT6CjPHLYAmZUYwhMj0.E0xvwvxB24qdz3..8hacR6DxoaRPWm6
64a588ea2367c5737db0aacf,216517,Krystal,Watson,IT,robertrowland,$#XnzsFYE3,$2b$12$1XDbTHpcVHU3hJ/wO0MqqOENZEiRujv.BCiE74j9WtAsq.xiQfipy
64a588ea2367c5737db0aad0,312024,Tammy,Moore,Automation,roger24,kW4*&2Vio#,$2b$12$nT9NzQG3SCKF4Fp8A6kRpOUzOReRilhSDTJ4e9QYrjQJYaUwYhiI6
64a588ea2367c5737db0aad1,482628,Derek,Moran,IT,campbelljason,WD9GUCeT^2,$2b$12$NFrMLAqOUdrqjkEzM9LTk.hQwOhVckAnCdXwG5ADHZkqDlLsscg2K
64a588ea2367c5737db0aad2,848081,Sara,Dougherty,Automation,juanirwin,%n0YIP_t8(,$2b$12$akKnqQNydY1CEfH5pH9/vOPUfsIPxGGOYv2Xcu6fRHUufNyFfLIqS
64a588eb2367c5737db0aad3,194125,Katherine,Novak,IT,perryanthony,pA(9CjM5Bh,$2b$12$7KfyXx3N7W36t2SC2sb/b.zROQnWb3Z2Dq7HzHwNJ8OyvqSKK5hIa
64a588eb2367c5737db0aad4,311867,Joel,Cobb,IT,mthornton,75nVuxru&A,$2b$12$jcoL0XjqEoTsKT33BoKao.cbDr47ba8ExGsDgHC4J1VifZmAurVXG
64a588eb2367c5737db0aad5,245856,Joseph,Bryant,Automation,kaustin,Ym5EwfO7!n,$2b$12$0j5aTZ1psLhHWGz0FVj.XOpBIl4WmiWdcEPXMRTZTO/W0iuOCC6kC
64a588eb2367c5737db0aad6,243108,Miguel,Black,Automation,ashley05,^c0IsbwtOC,$2b$12$1WgTlYLOPGxBqCtnmhgDDe6O2Y0L15IOlIJJegPucqnssORa1yYzW
64a588eb2367c5737db0aad7,633260,Sean,Sosa,Automation,katherine59,t_%M7M(vCW,$2b$12$xdCOeT22Mq3EyOT.6zH1x.XNuxE2EEhyalVbF1W9U0qKTyRD7LoCe
64a588ec2367c5737db0aad8,396786,Gabriel,Summers,Automation,hubbardstacy,&VQ)t@U4g1,$2b$12$l8SAWjKRIA1pekZMnOuwwOwDKtbbSDp2F64l93r6kQ5l7/xN2U/8e
64a588ec2367c5737db0aad9,265073,Erika,Barajas,IT,kochdeanna,l(Blw_S!&0,$2b$12$8VkQ6QWr4weYu2X27YZ3COHnrWbKAF4P8DIfqd47mQvg9JQ4dnKz.
64a588ec2367c5737db0aada,266742,Taylor,Gibson,Engineering and Technology,glopez,+1I8BhuoW3,$2b$12$7ATuCe12tIVNvyxXGZtUpu4a2BMQ5s7ukAEkkuszHp1ubyl2WhcqS
64a588ec2367c5737db0aadb,939758,Jacob,Dunn,Engineering and Technology,thomas42,(jeR4PlvDb,$2b$12$CbhfPQI3meuvx27pO/DftOfPArzJZsHajx5YFve3QbZ2rwAt5jkEe
64a588ec2367c5737db0aadc,454339,Leslie,Johnson,Warehouse,sharon22,+1)ZKtXq(+,$2b$12$w61QIuSEURzNiEuqwJjJwuzNMP6.x5mGBOdRG9qQpue1mPptKDP3i
64a588ed2367c5737db0aadd,159299,Mark,Hutchinson,Automation,danielprice,ga6ZLim2%X,$2b$12$kCYlY0oyqTt64bRE17JUe.LcLiyE6i9o00vfCAGG7vn/eGq1nisO.
64a588ed2367c5737db0aade,371421,Julia,Sandoval,Automation,denise72,TvF5Bed5C^,$2b$12$JLkaAr5xqE0xvQCIQgxVUOYI7wOjejtxXbFBssALcwtHIYQ4XptP6
64a588ed2367c5737db0aadf,735935,David,Snyder,Warehouse,matthewsadriana,%0Fsl7XZ6@,$2b$12$Eomj3Bkb04tI0tcpPbygvecs1aanA9Y6dzAvqk2rIDZ7P3eTr8VlC
64a588ed2367c5737db0aae0,599498,Christopher,Thompson,Automation,zellis,U&2wITmdrr,$2b$12$R/ULbGwPfR3GCpYczPXdAOoIzcMg/VMm5od4Ddthtz9sbG82U7JTe
64a588ed2367c5737db0aae1,772366,Fernando,Carey,Warehouse,john95,@dwqFagw60,$2b$12$6E3WwNAXeUAh3XPlPOz.GeFoDrhOLpTg4ZAOhuP50E5IoxGKoJO5u
64a588ee2367c5737db0aae2,254685,David,Suarez,Automation,davidwilson,@h6PiUgpDH,$2b$12$6nJYl6gXdSJZB8/Uifw8Muxblme8B9fb9XlxGxWwKma1qBD5S6IJ2
64a588ee2367c5737db0aae3,799237,Brandon,Brown,Engineering and Technology,brownapril,gOVnfIwm!2,$2b$12$0cCCKHuLdDd5Y4NUUzGVg.Lnt0JLgcCKN2Yp65I7ASjJ3RN0qAMve
64a588ee2367c5737db0aae4,510335,Christopher,Pierce,IT,millercaitlin,Z2M0#rt@*$,$2b$12$59IxchTBwaqtxvYm4VRxpe/LHkDJEscPCcVMvbI6z4oOkOjbTfKVm
64a588ee2367c5737db0aae5,761920,Dawn,Gonzales,Warehouse,hburns,M9KaUEsC^9,$2b$12$tqjZhm/M08HIUaPzVa1UbeDyJG1qQnO6rDc38dIqdhuRxJ4/gYJ8O
64a588ee2367c5737db0aae6,673936,Rodney,Mitchell,IT,rachelmurray,!@2GllXYkC,$2b$12$.qrI3ZAKX51xq8diu/IkRuQAcbe5xVQVL.gAK5uYu7rlUMWLGWeUa
64a588ee2367c5737db0aae7,914693,Anthony,Davenport,Warehouse,arogers,sgkM1gQz*2,$2b$12$lX8sx.IKVhjQLmd5YBwVjuIESp05noLmUh3M6XxKYJs6kEfoj7SZy
64a588ef2367c5737db0aae8,346033,Perry,Guerra,Warehouse,waltersdawn,3dB*vQJs&A,$2b$12$amYDkLmcldJ3LCwGrM95juPFfWKJpD8/yEoQR4PTCmCrns2hvbCea
64a588ef2367c5737db0aae9,589175,Kristina,Robinson,Automation,kprice,!#3Iru2@M6,$2b$12$7BKPvNd2atJOwECYO6BGbOyeu65KALaFBvwFqCbPK6.wUcOprlmbi
64a588ef2367c5737db0aaea,307180,Sara,Delgado,Engineering and Technology,richard29,^EaZIssJn5,$2b$12$qr2xAjy7qoFClzHV7DJ5ZO0VQslt8KUsEL4fw3UwqFy03CycpdzK2
64a588ef2367c5737db0aaeb,781279,Teresa,Lee,Automation,joseph43,#88qxRvA9s,$2b$12$/8Lsb6kyduXw6XVOilbjr.WOGYFskTN7Gn8tVlHsqi6NGlGrTo2Ve
64a588ef2367c5737db0aaec,614290,Jennifer,Montes,Automation,jeremy06,s*k1Urtux&,$2b$12$ZNtvFhGXzK3IgL1t80167.2PaHl5KXxJ8QEWE9FQmWVsxL1locpnu
64a588f02367c5737db0aaed,431483,Dana,Williams,Warehouse,kevin85,58Ujx2@o*N,$2b$12$C6KXP4jAGQOWBzGrTab37esEG9suKsf2/Fs0rI4ghpHER64sUpLgS
64a588f02367c5737db0aaee,336175,Mark,Jackson,Warehouse,navarroallison,)kX6aOPy(!,$2b$12$6tQol/kJ6sJjIk.Qd1lz7OHXHqRtItjkzJ2q7flyIREfWYWHgfS4C
64a588f02367c5737db0aaef,926434,Christine,Graham,Automation,blakeheather,g09OeSzS!V,$2b$12$IwHRSuHoO0HAsqSq8qEhS.4gf55hgMMxkCUx6NDXgoOP8k7ljP/Tq
64a588f02367c5737db0aaf0,254553,Jason,Malone,Engineering and Technology,gregorybryant,N4TsC%Tg_*,$2b$12$IW7q5Q8y2DJ753.tgNsLYOfkOovqnP9LECu.Kgt8WuE/Ikl/tkX46
64a588f02367c5737db0aaf1,991926,Kathy,Austin,IT,gomezmason,)^LX8fWnry,$2b$12$GVhSqWJR.bjSg/UnrSDutu2xv20SIMezgPjWPvjdZLdyj4grJcJ.e
64a588f12367c5737db0aaf2,817614,Jeffrey,Friedman,IT,kyle78,l_xU3HBh5s,$2b$12$YQ69zOFQUOfcfq6hjwafz.TKWzhK2t3QLeNmt7mV2/46GpoG46lLu
64a588f12367c5737db0aaf3,832559,Peter,Serrano,IT,matthewsivan,*1RN(_sP1V,$2b$12$lKwb3Vru76ADkHkJTbwo7OeRmJXZntIE/U/3XhEQ7D3DAuatKpArS
64a588f12367c5737db0aaf4,656627,Brian,Rivera,Automation,usmith,(h$TfcgeW3,$2b$12$a9ubPY9Bk1zeWfrepyeMleymaASa91z0ou6aeXaff32sYBeowavFm
64a588f12367c5737db0aaf5,571284,David,Smith,Engineering and Technology,erikcampos,6P!U7Bnp^b,$2b$12$yhJvUH3WyDA4BEqxupJl6e9pi4qgk7od.3IkiTqqOTf3m1/YcSc62
64a588f12367c5737db0aaf6,847056,Ashley,Harrell,Warehouse,sandra76,%x*5tjXlqD,$2b$12$pAqaUmdTQgKbe7uVS8OejOLLbvSc6PLRovN/71mJOvkV.36F4zmy6
64a588f22367c5737db0aaf7,685475,Michelle,Simmons,Warehouse,robert33,baLhNyEA@5,$2b$12$KfDd.nQVwNstjA64KErJI.hlNFvQ6QTeP.I/mXNM4RuEERtOf0Dr.
64a588f22367c5737db0aaf8,351070,Karen,Sims,IT,stephanie24,cg0DyMhPi),$2b$12$l/al3oWDPyHHYHCULKF2BOnLjAz6oKSGpiGPsHH9H79JR70BiDRVu
64a588f22367c5737db0aaf9,638128,Katie,Medina,IT,ohernandez,+HRgDKoZ#3,$2b$12$z9BVyblgSQ8rRs8MexQOuu.zHKWd8JK0uihMnQroHGvK5ng1kZNIi
64a588f22367c5737db0aafa,380719,Madeline,Brown,Warehouse,zcohen,&d8oUOw_g*,$2b$12$qwMEdLN6LzmQrI/u4J5KDuDbmAt3Lr2smKnAb6S/FCJEOXisoxC7q
64a588f22367c5737db0aafb,878498,Joseph,Clark,Engineering and Technology,lorihernandez,ajvEGi4y&2,$2b$12$Y.AzjP7cAGZvVtpmCKgK4eZJhEXcXXkPluLGUjKM5ILi8FhcoYwNW
64a588f22367c5737db0aafc,755631,Jacqueline,Newton,Engineering and Technology,ngordon,(z0FXD0tza,$2b$12$OCNYmAHQZJZqSDJyHNDL1.jhDq/r3jIPRFfgz/0myJtdcp/7vcLZe
64a588f32367c5737db0aafd,665289,Joshua,Gonzalez,Engineering and Technology,wilsonmason,7(t9TifZ*b,$2b$12$6BC7P7VCpSpyLxpqrH8HI.wWBg8wBWCyup8nkeHk7Y5q84F9XRHu.
64a588f32367c5737db0aafe,732064,Lee,Johnson,Warehouse,samuel45,bM8A8kPA*D,$2b$12$J96vnAdtbvYYLkz.saTCC.uOsYeYzlTXFfiSYsOgS0ki65aPFKCZy
64a588f32367c5737db0aaff,632809,James,Martinez,Automation,brodriguez,@3#WBn9JT&,$2b$12$aBwQMeknaH.j6gHeBYKwc.sTpfotoD77WsjxMk.kkLNZ1EIn3Q/Ie
64a588f32367c5737db0ab00,678158,Jennifer,Johnson,Warehouse,denisemyers,C7uoA4Bc*d,$2b$12$1kPeyHdKgHjNTl77ADfrD.OokEGfY4rKo6IFLBDZ2MBGhj9iCIira
64a588f32367c5737db0ab01,590997,Timothy,Mahoney,Warehouse,icruz,+1iGP(Df_9,$2b$12$Y2DzecG8XRTTJFKQ4wh9AO/KoMvW4zRWRm0e8TQfPWVGbN9S1hjBK
